filename, language, JavaScript, JSON, HTML, CSS, comment, blank, total
c:\Users\mudale\Desktop\checkers3\config\signup.html, HTML, 0, 0, 29, 0, 6, 3, 38
c:\Users\mudale\Desktop\checkers3\database\auth.js, JavaScript, 18, 0, 0, 0, 0, 4, 22
c:\Users\mudale\Desktop\checkers3\database\models\user.js, JavaScript, 127, 0, 0, 0, 15, 22, 164
c:\Users\mudale\Desktop\checkers3\database\mongoose.js, JavaScript, 7, 0, 0, 0, 0, 0, 7
c:\Users\mudale\Desktop\checkers3\ecosystem.config.js, JavaScript, 33, 0, 0, 0, 1, 3, 37
c:\Users\mudale\Desktop\checkers3\emails\account.js, JavaScript, 22, 0, 0, 0, 0, 4, 26
c:\Users\mudale\Desktop\checkers3\game\app.js, JavaScript, 267, 0, 0, 0, 1, 34, 302
c:\Users\mudale\Desktop\checkers3\game\public\checkers\BoardManagement.js, JavaScript, 93, 0, 0, 0, 0, 9, 102
c:\Users\mudale\Desktop\checkers3\game\public\checkers\CheckersPiece.js, JavaScript, 12, 0, 0, 0, 0, 0, 12
c:\Users\mudale\Desktop\checkers3\game\public\checkers\GameManagement.js, JavaScript, 160, 0, 0, 0, 0, 27, 187
c:\Users\mudale\Desktop\checkers3\game\public\checkers\Graphics.js, JavaScript, 97, 0, 0, 0, 0, 11, 108
c:\Users\mudale\Desktop\checkers3\game\public\checkers\index.html, HTML, 0, 0, 17, 0, 0, 3, 20
c:\Users\mudale\Desktop\checkers3\game\public\checkers\style.css, CSS, 0, 0, 0, 109, 0, 18, 127
c:\Users\mudale\Desktop\checkers3\game\public\checkers\utilities.js, JavaScript, 42, 0, 0, 0, 0, 5, 47
c:\Users\mudale\Desktop\checkers3\game\public\css\gameLobby.css, CSS, 0, 0, 0, 41, 2, 10, 53
c:\Users\mudale\Desktop\checkers3\game\public\css\styles.css, CSS, 0, 0, 0, 96, 1, 14, 111
c:\Users\mudale\Desktop\checkers3\game\public\css\transferPage.css, CSS, 0, 0, 0, 20, 0, 0, 20
c:\Users\mudale\Desktop\checkers3\game\public\game-lobby.html, HTML, 0, 0, 28, 0, 0, 7, 35
c:\Users\mudale\Desktop\checkers3\game\public\game-lobby.js, JavaScript, 78, 0, 0, 0, 1, 21, 100
c:\Users\mudale\Desktop\checkers3\game\public\index.html, HTML, 0, 0, 31, 0, 0, 3, 34
c:\Users\mudale\Desktop\checkers3\game\public\signup.html, HTML, 0, 0, 29, 0, 0, 3, 32
c:\Users\mudale\Desktop\checkers3\game\public\start-game.html, HTML, 0, 0, 17, 0, 0, 3, 20
c:\Users\mudale\Desktop\checkers3\game\public\transferPage.html, HTML, 0, 0, 21, 0, 0, 4, 25
c:\Users\mudale\Desktop\checkers3\game\public\transferPage.js, JavaScript, 8, 0, 0, 0, 0, 2, 10
c:\Users\mudale\Desktop\checkers3\game\src\checkers\BoardManagement.js, JavaScript, 62, 0, 0, 0, 1, 10, 73
c:\Users\mudale\Desktop\checkers3\game\src\checkers\CheckersLogic.js, JavaScript, 302, 0, 0, 0, 2, 31, 335
c:\Users\mudale\Desktop\checkers3\game\src\checkers\CheckersPiece.js, JavaScript, 13, 0, 0, 0, 1, 1, 15
c:\Users\mudale\Desktop\checkers3\game\src\emails\emails.js, JavaScript, 22, 0, 0, 0, 0, 4, 26
c:\Users\mudale\Desktop\checkers3\game\src\routers.js, JavaScript, 125, 0, 0, 0, 4, 24, 153
c:\Users\mudale\Desktop\checkers3\game\uti.js, JavaScript, 23, 0, 0, 0, 0, 2, 25
c:\Users\mudale\Desktop\checkers3\package-lock.json, JSON, 0, 3751, 0, 0, 0, 1, 3752
c:\Users\mudale\Desktop\checkers3\package.json, JSON, 0, 41, 0, 0, 0, 1, 42
Total, -, 1511, 3792, 172, 266, 35, 284, 6060